TITLE     = "fluent14.5.0  build-id: 10329"
VARIABLES = "X"
"Y"
"Z"
"Temperature"
DATASETAUXDATA Common.DensityVar="48"
DATASETAUXDATA Common.PressureVar="50"
DATASETAUXDATA Common.TemperatureVar="4"
DATASETAUXDATA Common.UVar="51"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="62"
DATASETAUXDATA Common.VVar="53"
DATASETAUXDATA Common.WVar="55"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=145, J=110, K=3, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 2.819444425E-002 -5.399082601E-002 -1.500000013E-003 3.363128052E+002
 2.920138836E-002 -5.399082601E-002 -1.500000013E-003 3.344403687E+002
 3.020833246E-002 -5.399082601E-002 -1.500000013E-003 3.326694641E+002
 3.121527843E-002 -5.399082601E-002 -1.500000013E-003 3.321640930E+002
 3.222222254E-002 -5.399082601E-002 -1.500000013E-003 3.321012573E+002
 3.322916850E-002 -5.399082601E-002 -1.500000013E-003 3.320614929E+002
 3.423611075E-002 -5.399082601E-002 -1.500000013E-003 3.318669434E+002
 3.524305671E-002 -5.399082601E-002 -1.500000013E-003 3.309695435E+002
 3.624999896E-002 -5.399082601E-002 -1.500000013E-003 3.290599060E+002
 3.725694492E-002 -5.399082601E-002 -1.500000013E-003 3.275102234E+002
 3.826388717E-002 -5.399082601E-002 -1.500000013E-003 3.269780579E+002
 3.927083313E-002 -5.399082601E-002 -1.500000013E-003 3.268812866E+002
 4.027777910E-002 -5.399082601E-002 -1.500000013E-003 3.268618774E+002
 4.128472134E-002 -5.399082601E-002 -1.500000013E-003 3.268256836E+002
 4.229166731E-002 -5.399082601E-002 -1.500000013E-003 3.266053467E+002
 4.329860955E-002 -5.399082601E-002 -1.500000013E-003 3.258390808E+002
 4.430555552E-002 -5.399082601E-002 -1.500000013E-003 3.243361511E+002
 4.531250149E-002 -5.399082601E-002 -1.500000013E-003 3.228541565E+002
 4.631944373E-002 -5.399082601E-002 -1.500000013E-003 3.220996399E+002
 4.732638970E-002 -5.399082601E-002 -1.500000013E-003 3.218686829E+002
 4.833333194E-002 -5.399082601E-002 -1.500000013E-003 3.218255615E+002
 4.934027791E-002 -5.399082601E-002 -1.500000013E-003 3.218165588E+002
 5.034722388E-002 -5.399082601E-002 -1.500000013E-003 3.218025208E+002
 5.135416612E-002 -5.399082601E-002 -1.500000013E-003 3.217175598E+002
 5.236111209E-002 -5.399082601E-002 -1.500000013E-003 3.214154663E+002
 5.336805433E-002 -5.399082601E-002 -1.500000013E-003 3.207055054E+002
 5.437500030E-002 -5.399082601E-002 -1.500000013E-003 3.196354370E+002
 5.538194627E-002 -5.399082601E-002 -1.500000013E-003 3.186623230E+002
 5.638888851E-002 -5.399082601E-002 -1.500000013E-003 3.181062012E+002
 5.739583448E-002 -5.399082601E-002 -1.500000013E-003 3.178840637E+002
 5.840277672E-002 -5.399082601E-002 -1.500000013E-003 3.178206787E+002
 5.940972269E-002 -5.399082601E-002 -1.500000013E-003 3.178099670E+002
 6.041666493E-002 -5.399082601E-002 -1.500000013E-003 3.178080139E+002
 6.142361090E-002 -5.399082601E-002 -1.500000013E-003 3.178077087E+002
 6.243055686E-002 -5.399082601E-002 -1.500000013E-003 3.177937012E+002
 6.343749911E-002 -5.399082601E-002 -1.500000013E-003 3.177321777E+002
 6.444444507E-002 -5.399082601E-002 -1.500000013E-003 3.175722046E+002
 6.545139104E-002 -5.399082601E-002 -1.500000013E-003 3.172798462E+002
 6.645833701E-002 -5.399082601E-002 -1.500000013E-003 3.169060364E+002
 6.746527553E-002 -5.399082601E-002 -1.500000013E-003 3.165768738E+002
 6.847222149E-002 -5.399082601E-002 -1.500000013E-003 3.163661499E+002
 6.947916746E-002 -5.399082601E-002 -1.500000013E-003 3.162582703E+002
 7.048611343E-002 -5.399082601E-002 -1.500000013E-003 3.162119446E+002
 7.149305195E-002 -5.399082601E-002 -1.500000013E-003 3.161966858E+002
 7.249999791E-002 -5.399082601E-002 -1.500000013E-003 3.161939697E+002
 -7.249999791E-002 -5.298165232E-002 -1.500000013E-003 3.046246338E+002
 -7.149305195E-002 -5.298165232E-002 -1.500000013E-003 3.046702576E+002
 -7.048611343E-002 -5.298165232E-002 -1.500000013E-003 3.048509521E+002
 -6.947916746E-002 -5.298165232E-002 -1.500000013E-003 3.053683167E+002
 -6.847222149E-002 -5.298165232E-002 -1.500000013E-003 3.064075623E+002
 -6.746527553E-002 -5.298165232E-002 -1.500000013E-003 3.076439819E+002
 -6.645833701E-002 -5.298165232E-002 -1.500000013E-003 3.084558411E+002
 -6.545139104E-002 -5.298165232E-002 -1.500000013E-003 3.087839661E+002
 -6.444444507E-002 -5.298165232E-002 -1.500000013E-003 3.088772583E+002
 -6.343749911E-002 -5.298165232E-002 -1.500000013E-003 3.090922241E+002
 -6.243055686E-002 -5.298165232E-002 -1.500000013E-003 3.093746033E+002
 -6.142361090E-002 -5.298165232E-002 -1.500000013E-003 3.103449707E+002
 -6.041666493E-002 -5.298165232E-002 -1.500000013E-003 3.124976196E+002
 -5.940972269E-002 -5.298165232E-002 -1.500000013E-003 3.149759827E+002
 -5.840277672E-002 -5.298165232E-002 -1.500000013E-003 3.163591919E+002
 -5.739583448E-002 -5.298165232E-002 -1.500000013E-003 3.168064880E+002
 -5.638888851E-002 -5.298165232E-002 -1.500000013E-003 3.172310181E+002
 -5.538194627E-002 -5.298165232E-002 -1.500000013E-003 3.175751953E+002
 -5.437500030E-002 -5.298165232E-002 -1.500000013E-003 3.187800903E+002
 -5.336805433E-002 -5.298165232E-002 -1.500000013E-003 3.210808411E+002
 -5.236111209E-002 -5.298165232E-002 -1.500000013E-003 3.229354858E+002
